customer_id,customer_name,customer_type,state,geopolitical_zone,registration_date,contact_channel
78,Heritage Restaurant,Restaurant,Oyo,South West,2025-12-15,Phone Order
79,Marina Chemist,Pharmacy,FCT,North Central,2023-05-05,Distributor Portal
80,Northern Restaurant,Restaurant,Rivers,South South,2024-07-16,Field Sales Rep
81,Blue Supplies Nigeria,Distributor,Ogun,South West,2022-03-22,Field Sales Rep
82,Unity Grand Hotel,Hotel,Osun,South West,2023-11-13,Walk-in
83,Royal Cafe,Cafe,Delta,South South,2025-10-28,Walk-in
84,Blue 24hr Mart,Convenience Store,Benue,North Central,2024-01-14,Phone Order
85,Prime Bread House,Bakery,Lagos,South West,2019-10-10,Walk-in
86,Metro Hotel,Hotel,Anambra,South East,2025-12-20,WhatsApp Order
87,Prime Stores,Retail Store,Kano,North West,2018-09-05,Distributor Portal
88,Marina Stores,Retail Store,Katsina,North West,2021-05-13,Walk-in
89,Blue Drug Store,Pharmacy,FCT,North Central,2019-10-01,Phone Order
90,Golden Suites,Hotel,FCT,North Central,2021-01-10,WhatsApp Order
91,Coastal Trading Store,Retail Store,Katsina,North West,2025-09-22,Walk-in
92,Fresh Restaurant,Restaurant,FCT,North Central,2021-02-22,Field Sales Rep
93,Bright Eatery,Restaurant,Lagos,South West,2022-12-10,WhatsApp Order
94,Green Supplies Nigeria,Distributor,Enugu,South East,2020-03-31,Distributor Portal
95,Marina Restaurant,Restaurant,Imo,South East,2023-01-21,Distributor Portal
96,Bright Trading Store,Retail Store,Osun,South West,2017-01-02,Distributor Portal
97,Zenith Logistics,Distributor,Anambra,South East,2021-03-02,Field Sales Rep
98,Capital Restaurant,Restaurant,Edo,South South,2020-08-18,Field Sales Rep
99,Metro Bread House,Bakery,Delta,South South,2021-07-05,WhatsApp Order
100,Coastal Distribution Co,Distributor,Lagos,South West,2018-06-04,Field Sales Rep
101,Sunny Logistics,Distributor,Katsina,North West,2020-06-02,Phone Order
102,Bright 24hr Mart,Convenience Store,Kaduna,North West,2018-09-02,Walk-in
103,Delta Mart,Supermarket,Katsina,North West,2018-01-07,Walk-in
104,Harvest Supermarket,Supermarket,Imo,South East,2025-01-04,Field Sales Rep
105,Golden Logistics,Distributor,Imo,South East,2025-04-24,Phone Order
106,Coastal Retail Shop,Retail Store,Osun,South West,2024-08-18,Phone Order
107,Prime Convenience Store,Convenience Store,Ondo,South West,2017-10-12,Phone Order
108,Coastal Stores,Retail Store,Ondo,South West,2018-09-10,Field Sales Rep
109,Fresh Superstore,Supermarket,Oyo,South West,2017-11-29,Walk-in
110,Metro Pharmacy,Pharmacy,Enugu,South East,2025-06-11,WhatsApp Order
111,Royal Convenience Store,Convenience Store,Benue,North Central,2025-05-29,WhatsApp Order
112,Marina Confectionery,Bakery,Delta,South South,2020-05-25,Walk-in
113,Coastal Pharmacy,Pharmacy,Lagos,South West,2023-07-08,Phone Order
114,Sunny Trading Store,Retail Store,Kwara,North Central,2022-02-22,Walk-in
115,Heritage Mart,Supermarket,Katsina,North West,2023-08-13,Distributor Portal
116,Palm Coffee House,Cafe,Enugu,South East,2023-10-09,Phone Order
117,Peace Trading Store,Retail Store,Kwara,North Central,2017-06-18,WhatsApp Order
118,Unity Mart,Supermarket,Oyo,South West,2020-10-04,Distributor Portal
119,Capital Mart,Supermarket,Ondo,South West,2018-05-05,Field Sales Rep
120,Bright Bakery,Bakery,Delta,South South,2022-07-19,Phone Order
121,Peace Stores,Retail Store,Kaduna,North West,2017-12-19,WhatsApp Order
122,Blue Corner Shop,Convenience Store,Cross River,South South,2019-02-03,Field Sales Rep
123,Fresh Coffee House,Cafe,Benue,North Central,2021-10-19,Walk-in
124,Silver Convenience Store,Convenience Store,Anambra,South East,2017-08-28,Field Sales Rep
125,Capital Stores,Retail Store,Cross River,South South,2019-06-25,Distributor Portal
126,Zenith Cafe,Cafe,Imo,South East,2017-07-18,WhatsApp Order
127,Delta Logistics,Distributor,Benue,North Central,2020-12-25,Field Sales Rep
128,Northern Mart,Supermarket,Plateau,North Central,2017-11-07,WhatsApp Order
129,Green Drug Store,Pharmacy,Oyo,South West,2020-03-13,Phone Order
130,Harvest Supermarket,Supermarket,Kano,North West,2022-04-13,Field Sales Rep
131,Metro Convenience Store,Convenience Store,Kano,North West,2023-03-07,Field Sales Rep
132,Marina Stores,Retail Store,Kwara,North Central,2019-07-16,Field Sales Rep
133,Green Convenience Store,Convenience Store,Cross River,South South,2023-12-17,Walk-in
134,Unity Corner Shop,Convenience Store,Cross River,South South,2020-01-01,Field Sales Rep
135,Golden Confectionery,Bakery,Lagos,South West,2017-08-02,Phone Order
136,Victory Stores,Retail Store,Akwa Ibom,South South,2025-08-08,Walk-in
137,Metro Supermarket,Supermarket,Osun,South West,2022-04-02,WhatsApp Order
138,Harvest Corner Shop,Convenience Store,Anambra,South East,2020-07-12,Field Sales Rep
139,Crown Superstore,Supermarket,Katsina,North West,2021-08-24,Field Sales Rep
140,Royal Cafe,Cafe,Enugu,South East,2018-01-01,Walk-in
141,Marina Stores,Retail Store,Ondo,South West,2024-11-21,Distributor Portal
142,Bright Convenience Store,Convenience Store,Oyo,South West,2018-05-31,WhatsApp Order
143,Harvest Bakery,Bakery,Kaduna,North West,2024-12-27,Distributor Portal
144,Royal Trading Ltd,Distributor,Katsina,North West,2021-03-02,Field Sales Rep
145,Prime Bakery,Bakery,FCT,North Central,2021-03-15,Walk-in
146,Palm Eatery,Restaurant,FCT,North Central,2021-10-03,Phone Order
147,Marina Bread House,Bakery,Lagos,South West,2019-03-15,Distributor Portal
148,Marina Eatery,Restaurant,Rivers,South South,2025-01-19,Field Sales Rep
149,Green Coffee House,Cafe,Akwa Ibom,South South,2025-11-03,WhatsApp Order
150,Green Retail Shop,Retail Store,Imo,South East,2025-11-28,Phone Order
151,Bright Retail Shop,Retail Store,Kano,North West,2023-04-24,Phone Order
152,Prime Kitchen,Restaurant,Benue,North Central,2018-01-25,Distributor Portal
153,Zenith Trading Store,Retail Store,Akwa Ibom,South South,2023-09-09,Phone Order
154,Coastal Trading Store,Retail Store,Benue,North Central,2019-02-20,Field Sales Rep
155,Golden Retail Shop,Retail Store,Kwara,North Central,2024-04-19,WhatsApp Order
156,Delta Restaurant,Restaurant,Anambra,South East,2025-05-04,Field Sales Rep
157,Heritage Eatery,Restaurant,Oyo,South West,2017-04-21,WhatsApp Order
158,Metro Bakery,Bakery,Kano,North West,2024-02-26,WhatsApp Order
159,Bright Stores,Retail Store,Edo,South South,2021-06-13,Field Sales Rep
160,Coastal Confectionery,Bakery,FCT,North Central,2025-04-29,Distributor Portal
161,Silver Kitchen,Restaurant,Enugu,South East,2023-08-15,Walk-in
162,Marina Mart,Supermarket,Kano,North West,2023-08-29,Phone Order
163,Royal Mart,Supermarket,Osun,South West,2020-08-21,WhatsApp Order
164,Victory Retail Shop,Retail Store,Oyo,South West,2024-02-04,Field Sales Rep
165,Delta Grand Hotel,Hotel,Enugu,South East,2024-12-23,WhatsApp Order
166,Peace Chemist,Pharmacy,FCT,North Central,2022-11-27,Distributor Portal
167,Sunny Mart,Supermarket,Katsina,North West,2024-11-23,Walk-in
168,Coastal Eatery,Restaurant,Benue,North Central,2025-06-21,Distributor Portal
169,Blue Coffee House,Cafe,Kwara,North Central,2017-09-05,Walk-in
170,Sunrise Supermarket,Supermarket,Anambra,South East,2025-09-29,Walk-in
171,Silver Hotel,Hotel,Edo,South South,2021-06-28,Distributor Portal
172,Unity Trading Ltd,Distributor,Kano,North West,2018-12-29,Field Sales Rep
173,Marina Corner Shop,Convenience Store,Anambra,South East,2025-06-13,Phone Order
174,Grand 24hr Mart,Convenience Store,Ogun,South West,2018-03-29,WhatsApp Order
175,Coastal Supplies Nigeria,Distributor,Rivers,South South,2023-09-19,Distributor Portal
176,Capital Chemist,Pharmacy,Kaduna,North West,2025-11-08,Phone Order
177,Sunny Bistro,Cafe,Kano,North West,2024-10-18,Distributor Portal
178,Victory Corner Shop,Convenience Store,Osun,South West,2023-11-03,Phone Order
179,Green Hotel,Hotel,Edo,South South,2023-05-28,WhatsApp Order
180,Royal Retail Shop,Retail Store,Edo,South South,2020-07-02,Field Sales Rep
181,Capital Coffee House,Cafe,Kwara,North Central,2023-07-31,Phone Order
182,Northern Trading Store,Retail Store,Delta,South South,2025-07-05,Phone Order
183,Green Mart,Supermarket,Ondo,South West,2018-08-07,WhatsApp Order
184,Blue Stores,Retail Store,Anambra,South East,2024-12-01,Distributor Portal
185,Heritage Restaurant,Restaurant,Anambra,South East,2022-11-28,WhatsApp Order
186,Coastal Grand Hotel,Hotel,Rivers,South South,2018-02-09,Field Sales Rep
187,Green Drug Store,Pharmacy,Delta,South South,2024-02-06,Phone Order
188,Prime Stores,Retail Store,Kaduna,North West,2024-12-26,Walk-in
189,Coastal Mart,Supermarket,Rivers,South South,2025-04-30,Phone Order
190,Green Kitchen,Restaurant,Osun,South West,2018-04-25,Distributor Portal
191,Peace Trading Ltd,Distributor,Kaduna,North West,2025-07-16,Phone Order
192,Capital Retail Shop,Retail Store,Edo,South South,2017-09-06,Field Sales Rep
193,Prime Retail Shop,Retail Store,Benue,North Central,2021-08-22,WhatsApp Order
194,Metro Superstore,Supermarket,Plateau,North Central,2019-08-03,Distributor Portal
195,Prime Retail Shop,Retail Store,FCT,North Central,2021-05-18,Field Sales Rep
196,Heritage Trading Store,Retail Store,FCT,North Central,2021-07-08,WhatsApp Order
197,Metro Corner Shop,Convenience Store,FCT,North Central,2025-05-10,Field Sales Rep
198,Peace Trading Store,Retail Store,Oyo,South West,2024-04-09,Distributor Portal
199,Harvest Supplies Nigeria,Distributor,Katsina,North West,2020-09-03,Distributor Portal
200,Sunrise Convenience Store,Convenience Store,Enugu,South East,2020-01-28,Field Sales Rep
201,Capital Trading Ltd,Distributor,Rivers,South South,2022-08-24,Walk-in
202,Victory Corner Shop,Convenience Store,Ogun,South West,2023-01-06,Walk-in
203,Coastal Kitchen,Restaurant,Delta,South South,2020-01-22,Field Sales Rep
204,Fresh Superstore,Supermarket,Imo,South East,2024-06-10,WhatsApp Order
205,Harvest Retail Shop,Retail Store,FCT,North Central,2025-06-05,Walk-in
206,Northern Trading Store,Retail Store,Kaduna,North West,2022-12-13,Field Sales Rep
207,Palm Retail Shop,Retail Store,Akwa Ibom,South South,2017-07-28,Phone Order
208,Golden 24hr Mart,Convenience Store,Enugu,South East,2025-10-15,Phone Order
209,Silver Eatery,Restaurant,Oyo,South West,2021-05-05,Phone Order
210,Northern Grand Hotel,Hotel,Anambra,South East,2023-03-28,Phone Order
211,Zenith Stores,Retail Store,Ondo,South West,2018-03-15,Walk-in
212,Delta Bakery,Bakery,Akwa Ibom,South South,2022-06-01,Field Sales Rep
213,Heritage Mart,Supermarket,Imo,South East,2020-01-22,WhatsApp Order
214,Bright Trading Ltd,Distributor,Plateau,North Central,2020-01-29,Walk-in
215,Northern Bistro,Cafe,Ondo,South West,2022-03-24,Walk-in
216,Peace Superstore,Supermarket,Cross River,South South,2018-04-28,Walk-in
217,Prime Supplies Nigeria,Distributor,Kwara,North Central,2018-01-13,Field Sales Rep
218,Delta Convenience Store,Convenience Store,Akwa Ibom,South South,2025-01-28,Field Sales Rep
219,Zenith Drug Store,Pharmacy,Katsina,North West,2023-07-08,Phone Order
220,Heritage Cafe,Cafe,Enugu,South East,2017-11-04,Field Sales Rep
